GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JUICE Maven Webapp,net.paneris.juice,Login,25,34,0,2,8,5,2,4,2,3
JUICE Maven Webapp,net.paneris.juice,Authoriser,3,12,0,4,1,4,1,3,1,1
