GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JUICE JaCoCo Jetty Example,net.paneris.juice,Login,19,39,1,1,2,11,2,4,1,4
JUICE JaCoCo Jetty Example,net.paneris.juice,Authoriser,2,13,2,2,1,4,2,2,0,2
