GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Combined,net.paneris.juice,Login,0,58,0,2,0,13,0,6,0,5
Combined,net.paneris.juice,Authoriser,0,15,0,4,0,5,0,4,0,2
